Time,PIR1,PIR2,PIR3,PIR4,PIR5,PIR6,LDR
2014-03-17T18:56:28.647Z,0,0,0,100,0,0,732
2014-03-17T18:56:38.665Z,16,0,0,0,0,0,733
2014-03-17T18:56:48.679Z,2,0,42,0,3,0,732
2014-03-17T18:56:58.697Z,0,0,7,0,0,0,733
2014-03-17T18:57:08.711Z,0,0,0,0,0,0,733
2014-03-17T18:57:18.725Z,0,0,0,0,0,0,733
2014-03-17T18:57:28.743Z,0,0,31,0,0,0,733
2014-03-17T18:57:38.758Z,0,9,31,0,0,0,733
2014-03-17T18:57:48.772Z,0,0,13,0,0,0,733
2014-03-17T18:57:58.790Z,0,0,6,0,0,0,732
2014-03-17T18:58:08.804Z,0,0,0,29,0,0,733
2014-03-17T18:58:18.822Z,43,6,0,100,0,0,733
2014-03-17T18:58:28.836Z,0,0,0,100,0,0,733
2014-03-17T18:58:38.851Z,0,0,0,100,0,0,733
2014-03-17T18:58:48.875Z,0,0,34,0,0,0,732
2014-03-17T18:58:58.883Z,0,0,7,0,0,0,732
2014-03-17T18:59:08.898Z,0,0,0,28,0,0,734
2014-03-17T18:59:18.915Z,0,0,0,98,0,0,732
2014-03-17T18:59:28.929Z,0,0,23,0,0,0,734
2014-03-17T18:59:38.946Z,0,0,0,0,0,0,733
2014-03-17T18:59:48.962Z,0,0,0,100,0,0,733
2014-03-17T18:59:58.976Z,0,0,3,8,0,0,733
2014-03-17T19:00:08.994Z,0,0,11,56,0,0,731
2014-03-17T19:00:19.007Z,0,0,0,26,0,0,733
2014-03-17T19:00:29.022Z,0,0,0,63,0,0,733
2014-03-17T19:00:39.040Z,0,0,11,52,0,0,733
2014-03-17T19:00:49.054Z,0,0,0,46,0,0,733
2014-03-17T19:00:59.072Z,0,0,0,18,0,0,733
2014-03-17T19:01:09.087Z,0,0,0,80,0,0,732
2014-03-17T19:01:19.101Z,0,0,0,31,0,0,732
2014-03-17T19:01:29.118Z,0,0,0,25,0,0,732
2014-03-17T19:01:39.132Z,0,15,0,57,0,0,733
2014-03-17T19:01:49.151Z,0,14,0,53,0,0,733
2014-03-17T19:01:59.164Z,0,29,0,49,0,0,732
2014-03-17T19:02:09.179Z,0,34,0,47,0,0,732
2014-03-17T19:02:19.198Z,0,0,0,17,0,0,733
2014-03-17T19:02:29.212Z,0,0,0,47,0,0,733
2014-03-17T19:02:39.229Z,0,11,31,70,0,0,732
2014-03-17T19:02:49.243Z,0,42,46,43,0,0,732
