PIR_Light,EEG_Light,PIR_dark,EEG_dark
29.49999999,27.33,0.83333334,0
21.50000001,17.49999999,2.16666666,0.17000001
19.83333333,19.5,18.83333334,22.32999999
17.66666667,11.84000001,12.83333334,12.50000001
14.83333332,12.99999999,0,0
9.33333333,6.99999999,0,0
27.16666668,25.65999999,13.83333333,14.33000001
26.11299435,20.49999999,23.33333334,26.49999999
29.33333334,28.17,4.70621469,2.49999999
22.99999998,22.32999999,0.33333333,0
27.83333334,26.49999999,4.66666665,3.66999999
20.2937853,20.49999999,27.33333333,27.17000001
23.66666667,21.99999999,18.25423728,16.32999999
24.33333333,23.00000001,17.49999999,16.5
28.33333332,25.83999999,19.00000002,17.33000001
11.49999999,6.83000001,21.11864406,21.83000001
27.83333334,27.33,5.49999999,6.83000001
24.99999999,27.15999999,0,0
25.60734465,27.15999999,14.49999999,14.82999999
19.83333333,16.5,25.79096046,27.33
23.16666666,23.67,16.5,14.66000001
11.11016949,6.66999999,4.66666668,4.17
25.33333335,24.50000001,0,0
20.49999999,17.84000001,19.16666667,20.16999999
16.1977401,7.5,10.5,6.99999999
29.16666666,26.84000001,1.33333332,1.32999999
28.5,25.83,6.50000001,9.50000001
27.33333333,21.99999999,7.16666667,8.49999999
28.81355931,27.33,0,0
30,28.32999999,0,0
27.83333334,19.34000001,10.5,11.00000001
30,26.84000001,15.66666666,13.83
27.66666666,19.17,26.81073447,25.17
28.83333333,26.66000001,2.33333334,2.67
28.33333335,21.00999999,19.83333333,20.33000001
30,27.66,13.33333332,12.50000001
28.33333332,27.33,11.29096044,11.33000001
12.66666666,1.67000001,0,0
25.66666665,20.00000001,15.99999999,12.99999999
29.33333334,26.66000001,21.94915254,20.82999999
29.33333334,26.16999999,23.66666667,23.16999999
28.66666665,23.82999999,6.99999999,5.33000001
23.92937853,19.65999999,9.16666665,10.5
16.66666668,5.49999999,23.42937852,24.83000001
23.00000001,20.49999999,2.66666667,0.99999999
28.6581921,22.67000001,0.33333333,0
27,22.16000001,11.7259887,8.00000001
16.66666668,11.66000001,11.00000001,11.16999999
27.15536724,28.17,5.83333332,3.66999999
26.49999999,22.83,0.16666668,0
27.83333334,27.33999999,0,0
24,18.33999999,18,13.32999999
30,28.67000001,0,0
29.33333334,29.16999999,0,0
27.83333334,19.34000001,2.16666666,0.66999999
29.15254236,27.84,26.00000001,27.51
19.33333332,15.50000001,17.87288136,16.17
17.16666666,12.66999999,18,18.33
29.16666666,28.83,12.66666666,6.50000001
29.16666666,28.5,0,0
27.33333333,25.98999999,0,0
30,25.67000001,4.66666668,0
20.83333335,11.00000001,29.33333334,26.84000001
29.33333334,27.33999999,21.79943502,15.66999999
28.66666668,21.17000001,26.49999999,19.5
27.33333333,23.01,13.83333333,13.17
29.3220339,28.83999999,4.5,1.32999999
18.16666668,10.16000001,28.66666665,27
30,28.50999999,17.66666667,15.17000001
25.77683616,23.84000001,27.99999999,24.15999999
19.16666667,10.5,1.83333333,0
28.16666667,23.16999999,13.16666667,8.49999999
27.98870058,27.66999999,2.83333332,2.82999999
24,18.51,0,0
28.66666665,29.16999999,13.5,13.5
25.33333335,24.00999999,16.16666667,15.99
17.40112995,13.83,11.00000001,14.00000001
27.99999999,27.83000001,17.83333332,15.99999999
28.33333332,27.99999999,7.33333332,4.17
23.06497176,22.83,0.33333333,0
10.5,8.16999999,4.66666668,5.49999999
28.66666668,23.49999999,27,26.49999999
29.33333334,28.65999999,12.99999999,17.00000001
29.16666666,26.67,4.16666667,2.49999999
20.49999999,12.17000001,0,0
26.16666666,19.83999999,0.99999999,0
25.62711864,26.34,23.66666667,24.15999999
23.83333335,24.66999999,21.5762712,20.01
26.16666666,25.32999999,20.00000001,22.67000001
16.66666668,14.66000001,0.66666666,2.16999999
22.31073447,20.33000001,14.83333332,14.49999999
17.83333332,15,26.98305084,27.99999999
21.33333333,18.15999999,18.83333334,18.66999999
27.32768361,25.67000001,5.00000001,0.33
8.83333332,6.15999999,23.61299436,25.17
21.50000001,21,17.83333335,17.34
